A1, ATS, International
Y33, RNAV, Japan
Y34, RNAV, Japan
Y35, RNAV, Japan
Y36, RNAV, Japan
Y37, RNAV, Japan
Y38, RNAV, Japan
Y39, RNAV, Japan
Y40, RNAV, Japan
Y41, RNAV, Japan
Y43, RNAV, Japan
Y45, RNAV, Japan
Y46, RNAV, Japan
Y48, RNAV, Japan
Y50, RNAV, Japan
Y51, RNAV, Japan
Y52, RNAV, Japan
Y53, RNAV, Japan
Y54, RNAV, Japan
Y55, RNAV, Japan
Y56, RNAV, Japan
Y57, RNAV, Japan
Y58, RNAV, Japan
Y59, RNAV, Japan
Y60, RNAV, Japan
Y61, RNAV, Japan
Y62, RNAV, Japan
Y71, RNAV, Japan
Y74, RNAV, Japan
Y75, RNAV, Japan
Y78, RNAV, Japan
Y79, RNAV, Japan
Y80, RNAV, Japan
Y81, RNAV, Japan
Y83, RNAV, Japan
Y85, RNAV, Japan
Y86, RNAV, Japan
Y87, RNAV, Japan
Y101, RNAV, Japan
Y102, RNAV, Japan
Y103, RNAV, Japan
Y104, RNAV, Japan
Y106, RNAV, Japan
Y107, RNAV, Japan
Y108, RNAV, Japan
Y109, RNAV, Japan
Y110, RNAV, Japan
Y111, RNAV, Japan
Y112, RNAV, Japan
Y113, RNAV, Japan
Y114, RNAV, Japan
Y115, RNAV, Japan
Y116, RNAV, Japan
Y121, RNAV, Japan
Y122, RNAV, Japan
Y124, RNAV, Japan
Y126, RNAV, Japan
Y131, RNAV, Japan
Y133, RNAV, Japan
Y141, RNAV, Japan
Y142, RNAV, Japan
Y143, RNAV, Japan
Y144, RNAV, Japan
Y151, RNAV, Japan
Y153, RNAV, Japan
Y182, RNAV, Japan
Y184, RNAV, Japan
Y186, RNAV, Japan
Y188, RNAV, Japan
Y201, RNAV, Japan
Y202, RNAV, Japan
Y203, RNAV, Japan
Y204, RNAV, Japan
Y205, RNAV, Japan
Y206, RNAV, Japan
Y213, RNAV, Japan
Y231, RNAV, Japan
Y232, RNAV, Japan
Y233J, RNAV, Japan
Y233K, RNAV, Korea
Y242, RANV, Japan
Y253, RNAV, Korea
Y256, RNAV, Japan
Y281, RNAV, Japan
Y282, RANV, Japan
Y283, RNAV, Japan
Y284, RNAV, Japan
Y285, RNAV, Japan
Y286, RNAV, Japan
Y287, RNAV, Japan
Y288, RNAV, Japan
Y293, RNAV, Japan
Y295, RNAV, Japan
Y296, RNAV, Japan
Y301, RNAV, Japan
Y302, RNAV, Japan
Y303, RNAV, Japan
Y305, RNAV, Japan
Y311, RNAV, Japan
Y312, RNAV, Japan
Y322, RNAV, Japan
Y324, RNAV, Japan
Y332, RNAV, Japan
Y333, RNAV, Japan
Y342, RNAV, Japan
Y347, RNAV, Japan
Y351, RNAV, Japan
Y361, RNAV, Japan
Y371, RNAV, Japan
Y373, RNAV, Japan
Y375, RNAV, Japan
Y377, RNAV, Japan
Y381, RNAV, Japan
Y382, RANV, Japan
Y384, RNAV, Japan
Y401, RNAV, Japan
Y402, RNAV, Japan
Y403, RNAV, Japan
Y412, RNAV, Japan
Y451, RNAV, Japan
Y453, RNAV, Japan
Y501, RNAV, Japan
Y511, RNAV, Japan
Y512, RNAV, Japan
Y513, RNAV, Japan
Y514, RNAV, Japan
Y515, RNAV, Japan
Y517, RNAV, Japan
Y522, RNAV, Japan
Y523, RNAV, Japan
Y525, RNAV, Japan
Y526, RNAV, Japan
Y527, RNAV, Japan
Y531, RNAV, Japan
Y532, RNAV, Japan
Y533, RNAV, Japan
Y535, RNAV, Japan
Y537, RNAV, Japan
Y542, RNAV, Japan
Y544, RNAV, Japan
Y546, RNAV, Japan
Y548, RNAV, Japan
Y562, RNAV, Japan
Y571, RNAV, Japan
Y572, RNAV, Japan
Y573, RNAV, Japan
Y574, RNAV, Japan
Y575, RNAV, Japan
Y576, RNAV, Japan
Y577, RNAV, Japan
Y578, RNAV, Japan
Y579, RNAV, International
Y582, RNAV, Japan
Y584, RNAV, Japan
Y586, RNAV, Japan
Y587, RNAV, Japan
Y588, RNAV, Japan
Y597, RNAV, Japan
Y599, RNAV, Japan
Y602, RNAV, Japan
Y644, RNAV, Korea
Y655, RNAV, Korea
Y657, RNAV, Korea
Y659, RNAV, Korea
Y677, RNAV, Korea
Y685, RNAV, Korea
Y711, RNAV, Korea
Y722, RNAV, Korea
Y744, RNAV, Korea
Y751, RNAV, Japan
Y753, RNAV, Japan
Y754, RNAV, Japan
Y755, RNAV, Japan
Y757, RNAV, Japan
Y758, RNAV, Japan
Y782, RNAV, Korea
Y802, RNAV, Japan
Y803, RNAV, Japan
Y804, RNAV, Japan
Y807, RNAV, Japan
Y808, RNAV, Japan
Y809, RNAV, Japan
Y810, RNAV, Japan
Y811, RNAV, Japan
Y812, RNAV, Japan
Y813, RNAV, Japan
Y814, RNAV, Japan
Y815, RNAV, Japan
Y816, RNAV, Japan
Y817, RNAV, Japan
Y818, RNAV, Japan
Y819, RNAV, Japan
Y820, RNAV, Japan
Y821, RNAV, Japan
Y822, RNAV, Japan
Y826, RNAV, Japan
Y824, RNAV, Japan
Y871, RNAV, Japan
Y872, RNAV, Japan
Y873, RNAV, Japan
Y880, RNAV, Japan
Y881, RNAV, Japan
Y882, RNAV, Japan
Y883, RNAV, Japan
Y884, RNAV, Japan
Y885, RNAV, Japan
Y886, RNAV, Japan
Y887, RNAV, Japan
Y889, RNAV, Japan
Z13, RNAV, Japan
Z14, RNAV, Japan
Z16, RNAV, Japan
Z17, RANV, Japan
Z18, RNAV, Japan
Z20, RNAV, Japan
Z21, RNAV, Japan
Z22, RNAV, Japan
Z24, RNAV, Japan
Z25, RNAV, Japan
Z26, RNAV, Japan
Z27, RNAV, Japan
Z29, RNAV, Japan
Z31, RNAV, Japan
Z32, RNAV, Japan
Z34, RNAV, Japan
Z40, RNAV, Japan
Z41, RNAV, Japan
Z50, RNAV, Korea
Z51, RNAV, Korea
Z52, RNAV, Korea
Z53, RNAV, Korea
Z54, RNAV, Korea
Z55, RNAV, Korea
Z63, RNAV, Korea
Z81, RNAV, Korea
Z82, RNAV, Korea
Z83, RNAV, Korea
Z84, RNAV, Korea
Z91, RNAV, Korea
Z119, RNAV, Japan
Z162, RNAV, Japan
Z171, RNAV, Japan
Z182, RNAV, Japan
Z262, RNAV, Japan
Z401, RNAV, Japan
